,Merchant_String,Labels,Predictions,Confidence,CorrectPrediction
0,oceanside parking lot z9399z,parking,parking,0.9992105664343698,1
1,dairy queen 18429 z5814z,dairyqueen,dairyqueen,0.9999999565256462,1
2,taco bell #3292 z5814z,tacobell,tacobell,0.9999999988365857,1
3,hollister #309 z5691z,hollister,hollister,0.9901589699667165,1
4,whataburger 896 z5814z,whataburger,whataburger,0.5231873426032126,1
5,mcdonald s f33073 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
6,starbucks store 00510 corona del macaus z5814z,starbucks,starbucks,0.999999999968793,1
7,wal mart store z531z,walmart,walmart,0.99999999999919,1
8,state or oregon parkin z7523z,parking,parking,0.937849781616384,1
9,lyft ride fri 8am z4121z,lyft,lyft,0.9999999999999716,1
10,safeway store 1549,safeway,safeway,0.9999973267774881,1
11,dairy queen #40716 z5814z,dairyqueen,dairyqueen,0.9999999565256462,1
12,paypal lildora410 z8999z,paypal,paypal,0.9999941015563429,1
13,circle k st 2723001 z5541z,circlek,circlek,0.9999999999439666,1
14,chipotle 1811 z5814z,chipotle,chipotle,0.9286098424940121,1
15,sonic drive in #5504 z5814z,sonic,sonic,1.0,1
16,uber trip e4qto,uber,uber,0.9999999999985647,1
17,8200 s holly z6011z,atm,atm,0.9999587895883294,1
18,target t 0239 z531z,target,target,0.9999999941390101,1
19,chick fil a #03507 z5814z,chickfila,chickfila,1.0,1
20,microsoft xbox stor,xbox,microsoft,0.9996694466512961,0
21,mcdonald s f13966 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
22,chick fil a #01386 z5814z,chickfila,chickfila,1.0,1
23,sarku japan 163 z5814z,sarkujapan,sarkujapan,0.9856831819853052,1
24,219 harrison ave z6011z,atm,atm,0.9999999999975984,1
25,uber trip mtrjm,uber,uber,0.9999999999925802,1
26,mcdonald s f13619 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
27,dollar ge 2806 holmes z531z,dollargeneral,dollargeneral,0.9999999999647571,1
28,wholefds alm #10 z5411z,wholefoods,wholefoods,0.9987026834685151,1
29,paypal lethality z5999z,paypal,paypal,0.9999816171537836,1
30,uber eats tphsx z4121z,uber,uber,1.0,1
31,uber eats 3bles z4121z,uber,uber,1.0,1
32,kroger #5 1601 willow z5411z,kroger,kroger,0.9999844072750302,1
33,paypal kwaccessori z5331z,paypal,paypal,0.9998526389829658,1
34,amc academy 8 #0365 z7832z,amc,amc,0.9990643470299367,1
35,wal mart #0485 z5411z,walmart,walmart,0.9999999997492353,1
36,uber eats p5xtm,uber,uber,0.9999999999977831,1
37,taco bell #027327 z5814z,tacobell,tacobell,0.9999999987956834,1
38,paypal grubhubfood mi z5812z,grubhub,paypal,0.6153392081815231,0
39,jack in the box 1195 z5814z,jackinthebox,jackinthebox,1.0,1
40,wholefds 7529 corpora z5411z,wholefoods,wholefoods,0.9950157610355858,1
41,"315 rockaway turnpike, z6011z",atm,atm,0.9999993836885589,1
42,burger king #5802 z5814z,burgerking,burgerking,0.9999999929539953,1
43,mcdonald s f1361 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
44,1432 7th street z6011z,atm,atm,0.9999999999882476,1
45,etsy com 111fashion z5699z,etsy,etsy,0.9999975672119097,1
46,ross stores #125 z531z,rossstores,rossstores,0.9999993773894806,1
47,435 harrison st z6011z,atm,atm,0.9999999999570406,1
48,mcdonald s f25055 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
49,paypal itsjanniebi z8999z,paypal,paypal,0.9999941015563429,1
50,paypal merchstores z5611z,paypal,paypal,0.9999747239762939,1
51,big lots 1492 s belch,biglots,biglots,0.9999999914746525,1
52,usa a 1 vending compan z5814z,vendingmachine,vendingmachine,0.9999999964536244,1
53,paypal nationalsch z5942z,paypal,paypal,0.9997726754072255,1
54,hot topic 0435 z5699z,hottopic,hottopic,0.9999999919026266,1
55,uber eats 3p34b,uber,uber,0.9999999999977831,1
56,old navy us 7214 z5651z,oldnavy,oldnavy,0.9999999999998153,1
57,uber eats lnai5,uber,uber,0.9999999999977831,1
58,uber trip 3tv27 z4121z,uber,uber,1.0,1
59,aldi 72047 z5411z,aldi,aldi,0.6355117610398786,1
60,icing #8728 z5631z,icing,icing,0.7184310518637116,1
61,mcdonald s f25079 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
62,uber eats km4as,uber,uber,0.9999999999977831,1
63,taco bell 033874 z5814z,tacobell,tacobell,0.9999999987956834,1
64,adidas 6204 z5655z,adidas,adidas,0.6231929077757582,1
65,hollister 7 backus ave z5691z,hollister,atm,0.9038201071244737,0
66,jcpenney 2983 z5311z,jcpenney,jcpenney,0.9736696084303328,1
67,uber eats 5ab3b z4121z,uber,uber,1.0,1
68,1620 fm 351 east z6011z,atm,atm,0.9999999896545972,1
69,etsy com fanomenalcr z5699z,etsy,etsy,0.9999975672119097,1
70,starbucks store 02621 z5814z,starbucks,starbucks,0.9999999999686793,1
71,sonic #3112 z5814z,sonic,sonic,0.991919823970588,1
72,paypal 1upgamesllc z7379z,paypal,paypal,0.9991405467801181,1
73,burger king #12776 z5814z,burgerking,burgerking,0.9999999927295882,1
74,7 eleven auburn wa z5541z,seveneleven,seveneleven,0.9999990142117269,1
75,six flags fireworks ll z5999z,sixflags,atm,0.6283193009273599,0
76,starbucks store 00607 z5814z,starbucks,starbucks,0.9999999997664837,1
77,sunoco 0007661211 z5542z,sunoco,sunoco,0.9924002185576334,1
78,uber trip onvy7,uber,uber,0.9999999999985647,1
79,wal mart #0094 z5411z,walmart,walmart,0.9999999997389821,1
80,sonic #3557 z5814z,sonic,sonic,0.9710340781415443,1
81,kroger 7509 terry r z5411z,kroger,kroger,0.9999999997552891,1
82,bath and body works 44 z5999z,bathandbodyworks,bathandbodyworks,1.0,1
83,starbucks store 03404 z5814z,starbucks,starbucks,0.9999999997660964,1
84,wawa gas store 5170 z5541z,wawa,wawa,0.9984307827940362,1
85,kfc k580003 z5814z,kfc,kfc,0.6349239415470637,1
86,jamba juice #139 z5814z,jambajuice,jambajuice,0.9999452274538227,1
87,hudsonnews st27 z5994z,hudsonnews,hudsonnews,0.9549777255656107,1
88,wal mart #0093 z5411z,walmart,walmart,0.9999999997543938,1
89,dunkin #330160 q35 z5814z,dunkindonuts,dunkindonuts,0.9999999201664093,1
90,samco # 1 z5541z,amc,chevron,0.5024527663801266,0
91,safeway store 1985 z5411z,safeway,safeway,0.9999999070326638,1
92,taco bell 0023253 z5814z,tacobell,tacobell,0.9999999987956834,1
93,panera bread #3584 hanover mdus,panerabread,panerabread,0.999999989468165,1
94,cvs pharm 02104 5013 z5912z,cvs,cvs,0.9999999997437428,1
95,jimmy johns 2316 z5814z,jimmyjohns,jimmyjohns,0.9999974589603678,1
96,dairy queen #13077 z5814z,dairyqueen,dairyqueen,0.999999960283433,1
97,fnb 1811 n main st z6011z,atm,atm,1.0,1
98,cold stone creamery # z5814z,coldstone,coldstone,0.9996619536410161,1
99,chick fil a #01487 z5814z,chickfila,chickfila,1.0,1
100,paypal sierrawilli z8999z,paypal,paypal,0.9999941015563429,1
101,citgo gm service z5542z,citgo,citgo,0.997466103095229,1
102,uber trip qrxu2,uber,uber,0.9999999999985647,1
103,chipotle 2870 z5814z,chipotle,chipotle,0.9286390448526315,1
104,potbelly #303 baltimore mdus z5812z,potbelly,atm,0.9094126652671508,0
105,paper source memphis z5111z,papersource,papersource,0.9958423036473417,1
106,jcpenney 0663 z5311z,jcpenney,jcpenney,0.9739815678770387,1
107,t j maxx 1700 n highw z5651z,tjmaxx,tjmaxx,0.9999999999993747,1
108,starbucks store 02968 z5814z,starbucks,starbucks,0.9999999997660964,1
109,culver s of west b,culvers,culvers,0.9999272540027424,1
110,justice # justice tuls z5641z,justice,justice,0.9999994814454917,1
111,cvs pharm 03653 353 g z5912z,cvs,cvs,0.9999999973735925,1
112,taco bell #32977 z5814z,tacobell,tacobell,0.9999999987956834,1
113,jack in the box 4833 z5814z,jackinthebox,jackinthebox,1.0,1
114,chick fil a #02794 z5814z,chickfila,chickfila,1.0,1
115,kroger 5341 hwy 20,kroger,kroger,0.9997068977712906,1
116,"ibb, inc citgo z5541z",citgo,citgo,0.99911735173252,1
117,dunkin #344103 q35 z5814z,dunkindonuts,dunkindonuts,0.9999999201664093,1
118,old navy us 7213 z5651z,oldnavy,oldnavy,1.0,1
119,chevron 585 terry park z5541z,chevron,chevron,0.9949284780314553,1
120,1661 32nd street n z6011z,atm,atm,0.9999999997860556,1
121,heb #575 z5411z,heb,heb,0.6903678071221245,1
122,paypal metrorestyl z5533z,paypal,paypal,0.9999291976711862,1
